Date,Pref,Positive,Tested,Inpatient,Discharged,Unconfirmed,Deaths.cumulative
2020/1/16,ALL,1,,,,,
2020/1/17,ALL,0,,,,,
2020/1/18,ALL,0,,,,,
2020/1/19,ALL,0,,,,,
2020/1/20,ALL,0,,,,,
2020/1/21,ALL,0,,,,,
2020/1/22,ALL,0,,,,,
2020/1/23,ALL,0,,,,,
2020/1/24,ALL,1,,,,,
2020/1/25,ALL,1,,,,,
2020/1/26,ALL,1,,,,,
2020/1/27,ALL,0,,,,,
2020/1/28,ALL,3,,,,,
2020/1/29,ALL,1,,,,,
2020/1/30,ALL,4,,,,,
2020/1/31,ALL,0,,,,,
2020/2/1,ALL,0,,,,,
2020/2/2,ALL,0,,,,,
2020/2/3,ALL,0,,,,,
2020/2/4,ALL,1,,,,,
2020/2/5,ALL,2,4,,,,
2020/2/6,ALL,0,19,,,,
2020/2/7,ALL,0,9,,,,
2020/2/8,ALL,0,4,,,,
2020/2/9,ALL,0,10,,,,
2020/2/10,ALL,0,12,,,,
2020/2/11,ALL,1,4,,,,
2020/2/12,ALL,1,10,,,,
2020/2/13,ALL,3,16,,,,
2020/2/14,ALL,5,43,,,,
2020/2/15,ALL,4,86,,,,
2020/2/16,ALL,1,65,,,,
2020/2/17,ALL,6,113,,,,
2020/2/18,ALL,8,9,,,,
2020/2/19,ALL,9,71,,,,
2020/2/20,ALL,8,90,,,,
2020/2/21,ALL,13,85,,,,
2020/2/22,ALL,23,96,,,,
2020/2/23,ALL,10,39,,,,
2020/2/24,ALL,16,104,,,,
2020/2/25,ALL,8,44,,,,
2020/2/26,ALL,22,168,,,,
2020/2/27,ALL,24,151,,,,
2020/2/28,ALL,19,130,,,,
2020/2/29,ALL,9,178,,,,
2020/3/1,ALL,14,96,,,,
2020/3/2,ALL,14,71,,,,
2020/3/3,ALL,22,153,,,,
2020/3/4,ALL,34,3940,,,,
2020/3/5,ALL,33,699,,,,
2020/3/6,ALL,54,553,,,,
2020/3/7,ALL,44,147,,,,
2020/3/8,ALL,35,110,,,,
2020/3/9,ALL,27,1314,,,,
2020/3/10,ALL,60,424,,,,
2020/3/11,ALL,52,181,,,,
2020/3/12,ALL,55,1855,,,,
2020/3/13,ALL,34,859,,,,
2020/3/14,ALL,62,107,,,,
2020/3/15,ALL,29,42,,,,
2020/3/16,ALL,16,2083,,,,
2020/3/17,ALL,45,203,,,,
2020/3/18,ALL,39,,,,,
2020/3/19,ALL,39,3490,,,,
2020/3/20,ALL,52,119,,,,
2020/3/21,ALL,35,132,,,,
2020/3/22,ALL,45,56,,,,
2020/3/23,ALL,39,3862,,,,
2020/3/24,ALL,89,,,,,
2020/3/25,ALL,93,674,,,,
2020/3/26,ALL,93,1805,,,,
2020/3/27,ALL,96,1442,,,,
2020/3/28,ALL,222,296,,,,
2020/3/29,ALL,151,206,,,,
2020/3/30,ALL,80,3481,,,,
2020/3/31,ALL,227,1914,,,,
2020/4/1,ALL,257,,,,,
2020/4/2,ALL,281,4685,,,,
2020/4/3,ALL,353,3305,,,,
2020/4/4,ALL,365,271,,,,
2020/4/5,ALL,346,218,,,,
2020/4/6,ALL,248,7876,,,,
2020/4/7,ALL,365,4544,,,,
2020/4/8,ALL,522,1383,,,,
2020/4/9,ALL,574,2841,,,,
2020/4/10,ALL,640,5389,,,,
2020/4/11,ALL,644,1644,,,,
2020/4/12,ALL,486,57,,,,
2020/4/13,ALL,387,9252,,,,
2020/4/14,ALL,446,8255,,,,
2020/4/15,ALL,552,693,,,,
2020/4/16,ALL,558,5325,,,,
2020/4/17,ALL,572,4149,,,,
2020/4/18,ALL,577,1004,,,,
2020/4/19,ALL,377,2953,,,,
2020/4/20,ALL,346,6816,,,,
2020/4/21,ALL,389,5542,,,,
2020/4/22,ALL,446,4415,,,,
2020/4/23,ALL,439,5349,,,,
2020/4/24,ALL,444,5187,,,,
2020/4/25,ALL,371,1250,,,,
2020/4/26,ALL,224,1136,,,,
2020/4/27,ALL,182,8545,,,,
2020/4/28,ALL,279,3244,,,,
2020/4/29,ALL,217,879,,,,
2020/4/30,ALL,202,8126,,,,
2020/5/1,ALL,282,6820,,,,
2020/5/2,ALL,288,880,,,,
2020/5/3,ALL,195,1012,,,,
2020/5/4,ALL,181,1332,,,,
2020/5/5,ALL,119,1569,,,,
2020/5/6,ALL,104,447,,,,
2020/5/7,ALL,107,13005,,,,
2020/5/8,ALL,88,10680,,,,
2020/5/9,ALL,108,2265,6250,8276,442,613
2020/5/10,ALL,66,3995,6074,8514,422,621
2020/5/11,ALL,58,5993,5914,8903,247,643
2020/5/12,ALL,87,288,5162,9851,174,668
2020/5/13,ALL,55,10074,4732,10321,169,687
