Date,Tested,Negative,Positive,Prate
2020/1/30,2,2,0,0
2020/2/13,1,1,0,0
2020/2/14,1,1,0,0
2020/2/15,0,0,0,
2020/2/16,1,1,0,0
2020/2/17,0,0,0,
2020/2/18,2,2,0,0
2020/2/19,1,1,0,0
2020/2/20,0,0,0,
2020/2/21,0,0,0,
2020/2/22,1,1,0,0
2020/2/23,1,1,0,0
2020/2/24,1,1,0,0
2020/2/25,1,1,0,0
2020/2/26,2,2,0,0
2020/2/27,2,2,0,0
2020/2/28,4,4,0,0
2020/2/29,0,0,0,
2020/3/1,2,1,1,50
2020/3/2,27,27,0,0
2020/3/3,5,5,0,0
2020/3/4,19,19,0,0
2020/3/5,10,10,0,0
2020/3/6,32,32,0,0
2020/3/7,113,113,0,0
2020/3/8,22,22,0,0
2020/3/9,3,3,0,0
2020/3/10,6,6,0,0
2020/3/11,2,2,0,0
2020/3/12,4,4,0,0
2020/3/13,1,1,0,0
2020/3/14,4,4,0,0
2020/3/15,4,4,0,0
2020/3/16,4,4,0,0
2020/3/17,11,11,0,0
2020/3/18,6,6,0,0
2020/3/19,7,7,0,0
2020/3/20,9,9,0,0
2020/3/21,2,2,0,0
2020/3/22,5,5,0,0
2020/3/23,8,7,1,12.5
2020/3/24,22,22,0,0
2020/3/25,10,10,0,0
2020/3/26,12,12,0,0
2020/3/27,8,8,0,0
2020/3/28,19,18,1,5.263157894736842
2020/3/29,15,15,0,0
2020/3/30,8,7,1,12.5
2020/3/31,48,38,10,20.833333333333336
2020/4/1,58,37,21,36.206896551724135
2020/4/2,79,72,7,8.860759493670885
2020/4/3,48,45,3,6.25
2020/4/4,121,121,0,0
2020/4/5,170,170,0,0
2020/4/6,144,140,4,2.7777777777777777
2020/4/7,85,84,1,1.1764705882352942
2020/4/8,273,269,4,1.465201465201465
2020/4/9,125,124,1,0.8
2020/4/10,141,140,1,0.7092198581560284
2020/4/11,65,62,3,4.615384615384616
2020/4/12,23,19,4,17.391304347826086
2020/4/13,20,18,2,10
2020/4/14,46,43,3,6.521739130434782
2020/4/15,106,103,3,2.8301886792452833
2020/4/16,36,36,0,0
2020/4/17,41,40,1,2.4390243902439024
2020/4/18,71,71,0,0
2020/4/19,18,18,0,0
2020/4/20,5,5,0,0
2020/4/21,42,42,0,0
2020/4/22,55,53,2,3.6363636363636362
2020/4/23,51,50,1,1.9607843137254901
2020/4/24,42,42,0,0
2020/4/25,46,46,0,0
2020/4/26,21,21,0,0
2020/4/27,10,10,0,0
