Pref,Pos7,Pos,Population,per100K7,per100K,2022-04-22,2022-04-23,2022-04-24,2022-04-25,2022-04-26,2022-04-27,2022-04-28
沖縄県,9603,1683,1467480,654.387112601194,114.68640117752884,1421,1662,1311,489,1418,1619,1683
佐賀県,3020,389,811442,372.1769393252999,47.939347482629685,464,464,268,357,583,495,389
北海道,18580,3159,5224614,355.6243580865496,60.46379694270237,2845,2785,2633,1867,2132,3159,3159
鹿児島県,5400,712,1588256,339.99556746519454,44.82904519170713,786,789,883,374,974,882,712
福岡県,15811,2376,5135214,307.89369245371273,46.268763093417334,2464,2552,2099,1542,2216,2562,2376
長崎県,3760,664,1312317,286.51613901214415,50.59753093193184,512,545,454,284,623,678,664
宮崎県,3031,454,1069576,283.38332198927424,42.4467265533258,433,482,391,244,454,573,454
東京都,35354,5394,14047594,251.67299111862144,38.39803456734299,5396,5387,4936,3141,5048,6052,5394
大分県,2818,416,1123852,250.74475998619036,37.0155500902254,394,386,368,215,564,475,416
香川県,2299,342,950244,241.9378601706509,35.990756058443935,372,371,317,131,354,412,342
広島県,6575,1163,2799702,234.84642294072728,41.54013534297579,983,978,997,559,830,1065,1163
京都府,6010,996,2578087,233.1185875418479,38.63329670410657,891,900,840,586,627,1170,996
大阪府,20359,3046,8837685,230.36575754849827,34.46603946621768,2845,3112,2732,963,3966,3695,3046
栃木県,4424,579,1933146,228.84976095959644,29.95117802793995,660,768,649,313,745,710,579
熊本県,3934,603,1738301,226.31293429618924,34.6890440723442,624,577,468,266,779,617,603
岡山県,4151,645,1888432,219.81199217128287,34.15532039279148,574,649,631,336,546,770,645
青森県,2666,409,1237984,215.35011761056685,33.037583684441806,454,403,303,259,401,437,409
石川県,2349,434,1132526,207.41245675595968,38.321416020471055,332,362,368,331,148,374,434
神奈川県,19080,2213,9237337,206.55303579375746,23.95712097544996,2834,3360,2566,2807,2450,2850,2213
愛知県,15538,2313,7542415,206.00828779641535,30.66657032263539,2366,2469,1990,986,2772,2642,2313
埼玉県,15101,2354,7344765,205.6022214461593,32.05003836065551,2378,2485,2297,1593,1750,2244,2354
岐阜県,3983,573,1978742,201.2895061609851,28.957792375155528,658,635,364,377,752,624,573
秋田県,1872,302,959502,195.10120875204012,31.474660813630404,238,283,272,124,339,314,302
茨城県,5583,737,2867009,194.73255926298106,25.706232523162644,1049,952,784,856,585,620,737
福島県,3558,463,1833152,194.09192472855497,25.25704360576755,597,649,527,304,471,547,463
兵庫県,10353,1570,5465002,189.44183369008832,28.728260300728163,1679,1503,1437,705,1580,1879,1570
岩手県,2288,308,1210534,189.00749586546104,25.443316751119752,401,363,334,251,291,340,308
島根県,1259,157,671126,187.59517586861483,23.393520739771667,219,195,207,104,208,169,157
千葉県,11747,1778,6284480,186.92079535617904,28.291919140485767,1976,1885,1749,1263,1491,1605,1778
三重県,3132,462,1770254,176.9237634825285,26.097949785736965,492,489,447,299,341,602,462
福井県,1342,185,766863,174.9986633857677,24.124256875087205,248,220,200,142,150,197,185
長野県,3570,460,2048011,174.31546998526863,22.46081686084694,603,542,535,271,544,615,460
群馬県,3303,488,1939110,170.33587573680708,25.166184486697503,463,507,432,246,562,605,488
和歌山県,1553,234,922584,168.33155571741977,25.36354413256679,212,253,205,147,218,284,234
滋賀県,2351,330,1413610,166.3117833065697,23.344486810364952,392,300,356,196,330,447,330
宮城県,3778,444,2301996,164.118443298772,19.287609535377126,614,715,518,256,581,650,444
高知県,1091,193,691527,157.7667972472514,27.909250108817155,175,158,111,62,205,187,193
新潟県,3352,510,2201272,152.27559338418877,23.168422621102707,582,473,560,316,340,571,510
愛媛県,1956,291,1334841,146.53430633311385,21.80034925507982,287,283,219,124,404,348,291
鳥取県,807,97,553407,145.82395958128467,17.527786963301875,121,130,113,96,151,99,97
奈良県,1748,287,1324473,131.97702029410942,21.668995894971054,280,266,262,210,90,353,287
山形県,1402,199,1068027,131.27008961383936,18.632487755459366,240,213,182,131,200,237,199
静岡県,4721,737,3633202,129.94047674750811,20.28513691228839,785,795,670,336,613,785,737
山梨県,1035,139,809974,127.78187941835169,17.1610446755081,144,171,138,98,185,160,139
山口県,1408,185,1342059,104.91342034888183,13.784788895272115,248,218,176,99,231,251,185
富山県,827,132,1034814,79.91774367180962,12.75591555583902,129,129,116,60,102,159,132
徳島県,552,88,719559,76.71365377960667,12.229712921386572,79,85,72,56,92,80,88
