Date,Pref,Positive,Inpatient,Discharged,Unconfirmed
2020/1/16,Hokkaido,0,,,
2020/1/17,Hokkaido,0,,,
2020/1/18,Hokkaido,0,,,
2020/1/19,Hokkaido,0,,,
2020/1/20,Hokkaido,0,,,
2020/1/21,Hokkaido,0,,,
2020/1/22,Hokkaido,0,,,
2020/1/23,Hokkaido,0,,,
2020/1/24,Hokkaido,0,,,
2020/1/25,Hokkaido,0,,,
2020/1/26,Hokkaido,0,,,
2020/1/27,Hokkaido,0,,,
2020/1/28,Hokkaido,1,,,
2020/1/29,Hokkaido,0,,,
2020/1/30,Hokkaido,0,,,
2020/1/31,Hokkaido,0,,,
2020/2/1,Hokkaido,0,,,
2020/2/2,Hokkaido,0,,,
2020/2/3,Hokkaido,0,,,
2020/2/4,Hokkaido,0,,,
2020/2/5,Hokkaido,0,,,
2020/2/6,Hokkaido,0,,,
2020/2/7,Hokkaido,0,,,
2020/2/8,Hokkaido,0,,,
2020/2/9,Hokkaido,0,,,
2020/2/10,Hokkaido,0,,,
2020/2/11,Hokkaido,0,,,
2020/2/12,Hokkaido,0,,,
2020/2/13,Hokkaido,0,,,
2020/2/14,Hokkaido,1,,,
2020/2/15,Hokkaido,0,,,
2020/2/16,Hokkaido,0,,,
2020/2/17,Hokkaido,0,,,
2020/2/18,Hokkaido,0,,,
2020/2/19,Hokkaido,2,,,
2020/2/20,Hokkaido,1,,,
2020/2/21,Hokkaido,3,,,
2020/2/22,Hokkaido,9,,,
2020/2/23,Hokkaido,7,,,
2020/2/24,Hokkaido,6,,,
2020/2/25,Hokkaido,1,,,
2020/2/26,Hokkaido,8,,,
2020/2/27,Hokkaido,15,,,
2020/2/28,Hokkaido,12,,,
2020/2/29,Hokkaido,4,,,
2020/3/1,Hokkaido,2,,,
2020/3/2,Hokkaido,5,,,
2020/3/3,Hokkaido,2,,,
2020/3/4,Hokkaido,3,,,
2020/3/5,Hokkaido,1,,,
2020/3/6,Hokkaido,7,,,
2020/3/7,Hokkaido,8,,,
2020/3/8,Hokkaido,3,,,
2020/3/9,Hokkaido,7,,,
2020/3/10,Hokkaido,3,,,
2020/3/11,Hokkaido,7,,,
2020/3/12,Hokkaido,10,,,
2020/3/13,Hokkaido,9,,,
2020/3/14,Hokkaido,7,,,
2020/3/15,Hokkaido,4,,,
2020/3/16,Hokkaido,4,,,
2020/3/17,Hokkaido,0,,,
2020/3/18,Hokkaido,2,,,
2020/3/19,Hokkaido,3,,,
2020/3/20,Hokkaido,1,,,
2020/3/21,Hokkaido,1,,,
2020/3/22,Hokkaido,3,,,
2020/3/23,Hokkaido,0,,,
2020/3/24,Hokkaido,1,,,
2020/3/25,Hokkaido,4,,,
2020/3/26,Hokkaido,1,,,
2020/3/27,Hokkaido,1,,,
2020/3/28,Hokkaido,3,,,
2020/3/29,Hokkaido,4,,,
2020/3/30,Hokkaido,1,,,
2020/3/31,Hokkaido,0,,,
2020/4/1,Hokkaido,5,,,
2020/4/2,Hokkaido,3,,,
2020/4/3,Hokkaido,5,,,
2020/4/4,Hokkaido,3,,,
2020/4/5,Hokkaido,1,,,
2020/4/6,Hokkaido,0,,,
2020/4/7,Hokkaido,4,,,
2020/4/8,Hokkaido,10,,,
2020/4/9,Hokkaido,18,,,
2020/4/10,Hokkaido,13,,,
2020/4/11,Hokkaido,16,,,
2020/4/12,Hokkaido,12,,,
2020/4/13,Hokkaido,5,,,
2020/4/14,Hokkaido,18,,,
2020/4/15,Hokkaido,23,,,
2020/4/16,Hokkaido,23,,,
2020/4/17,Hokkaido,33,,,
2020/4/18,Hokkaido,38,,,
2020/4/19,Hokkaido,27,,,
2020/4/20,Hokkaido,17,,,
2020/4/21,Hokkaido,22,,,
2020/4/22,Hokkaido,22,,,
2020/4/23,Hokkaido,45,,,
2020/4/24,Hokkaido,22,,,
2020/4/25,Hokkaido,39,,,
2020/4/26,Hokkaido,14,,,
2020/4/27,Hokkaido,35,,,
2020/4/28,Hokkaido,38,,,
2020/4/29,Hokkaido,38,,,
2020/4/30,Hokkaido,41,,,
2020/5/1,Hokkaido,22,,,
2020/5/2,Hokkaido,33,,,
2020/5/3,Hokkaido,26,,,
2020/5/4,Hokkaido,31,,,
2020/5/5,Hokkaido,12,,,
2020/5/6,Hokkaido,23,,,
2020/5/7,Hokkaido,14,,,
2020/5/8,Hokkaido,6,,,
2020/5/9,Hokkaido,11,462,424,0
2020/5/10,Hokkaido,9,450,444,0
2020/5/11,Hokkaido,12,439,459,0
2020/5/12,Hokkaido,13,432,472,0
2020/5/13,Hokkaido,4,409,502,0
2020/5/14,Hokkaido,6,394,519,0
2020/5/15,Hokkaido,10,389,528,0
2020/5/16,Hokkaido,7,366,560,0
2020/5/17,Hokkaido,8,343,589,0
2020/5/18,Hokkaido,1,338,601,0
2020/5/19,Hokkaido,3,319,620,0
2020/5/20,Hokkaido,2,299,642,0
2020/5/21,Hokkaido,5,272,670,0
2020/5/22,Hokkaido,6,259,687,0
2020/5/23,Hokkaido,9,241,711,0
2020/5/24,Hokkaido,15,234,726,0
2020/5/25,Hokkaido,3,239,734,0
2020/5/26,Hokkaido,8,238,736,0
2020/5/27,Hokkaido,5,227,755,0
2020/5/28,Hokkaido,7,223,763,0
2020/5/29,Hokkaido,3,222,770,0
2020/5/30,Hokkaido,4,212,783,0
2020/5/31,Hokkaido,6,200,799,0
2020/6/1,Hokkaido,5,195,810,0
2020/6/2,Hokkaido,3,197,812,0
2020/6/3,Hokkaido,3,191,821,0
2020/6/4,Hokkaido,3,183,831,0
2020/6/5,Hokkaido,4,166,849,0
2020/6/6,Hokkaido,8,156,863,0
2020/6/7,Hokkaido,4,158,869,0
2020/6/8,Hokkaido,4,150,881,0
2020/6/9,Hokkaido,7,146,888,0
2020/6/10,Hokkaido,5,135,906,0
2020/6/11,Hokkaido,7,125,921,0
2020/6/12,Hokkaido,10,122,931,0
2020/6/13,Hokkaido,9,120,943,0
2020/6/14,Hokkaido,7,122,950,0
